出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/09/07","114/6","1101","台泥","水泥工業","10107877","12619495","13659543","-19.90268231811178","-26.001353046730774","70380916","64831975","8.558957212085549","-"
"114/09/07","114/6","1102","亞泥","水泥工業","6019299","6370169","6838497","-5.508017134239296","-11.979211221413125","35260444","35484605","-0.6317133866926234","-"
"114/09/07","114/6","1103","嘉泥","水泥工業","247791","249182","256328","-0.5582265171641612","-3.3304984238943853","1521022","1437444","5.8143482459142755","-"
"114/09/07","114/6","1104","環泥","水泥工業","627049","643106","662277","-2.49678902078351","-5.319224433280938","3897477","4000652","-2.5789546303952458","-"
"114/09/07","114/6","1108","幸福","水泥工業","361327","388571","354661","-7.011331262497716","1.8795413084607555","2373296","2410081","-1.5262972489306377","-"
"114/09/07","114/6","1109","信大","水泥工業","390871","407283","417314","-4.029630502623483","-6.336475651427942","2222076","2473105","-10.150357546485086","-"
"114/09/07","114/6","1110","東泥","水泥工業","222403","261492","192948","-14.948449665764153","15.265771088583453","1488991","1181516","26.023769462284047","-"
"114/09/07","114/6","1201","味全","食品工業","1736584","1923030","1949792","-9.69542856845707","-10.934909980141471","10731978","11240317","-4.5224614216841035","-"
"114/09/07","114/6","1203","味王","食品工業","432438","481004","514904","-10.096797531829257","-16.01580100368224","2944445","3078082","-4.341567248695779","-"
"114/09/07","114/6","1210","大成","食品工業","7980681","8229515","8207756","-3.0236775800274986","-2.76659052730125","50471928","50714036","-0.47739840702088865","-"
"114/09/07","114/6","1213","大飲","食品工業","23916","19978","12287","19.71168285113625","94.64474648001953","135192","74539","81.37082601054482","113年6月因產能不足,恢復產能後及積極推展業務,致使114年6月營收成長"
"114/09/07","114/6","1215","卜蜂","食品工業","2226284","2448264","2139781","-9.066832661837122","4.0426099680294385","13757991","13617092","1.0347216571643931","-"
"114/09/07","114/6","1216","統一","食品工業","55738019","57625519","54983416","-3.2754585689718474","1.3724192763869019","338838287","320873215","5.598806992973845","-"
"114/09/07","114/6","1217","愛之味","食品工業","424548","440729","404150","-3.671417129347059","5.047135964369665","2427740","2361477","2.8059981105045697","-"
"114/09/07","114/6","1218","泰山","食品工業","809797","832885","820155","-2.772051363633635","-1.2629320067548206","4935865","5289303","-6.682128061107484","-"
"114/09/07","114/6","1219","福壽","食品工業","1099572","1197196","1042042","-8.154387418601466","5.520890712658415","7139489","7041981","1.3846671838506805","-"
"114/09/07","114/6","1220","台榮","食品工業","255918","274366","268122","-6.723865201956511","-4.55165931926511","1555054","1580021","-1.5801688711732313","-"
"114/09/07","114/6","1225","福懋油","食品工業","984253","1008123","947916","-2.367766631651098","3.833356542140865","6231711","6384651","-2.395432420660111","-"
"114/09/07","114/6","1227","佳格","食品工業","1980512","2164443","1959516","-8.49784448008102","1.0714890819977994","13055092","13153365","-0.7471320076649587","-"
"114/09/07","114/6","1229","聯華","食品工業","2140098","862668","1739578","148.07898287637886","23.023974780090345","6531639","6989641","-6.552582600451153","-"
"114/09/07","114/6","1231","聯華食","食品工業","963173","1018378","867577","-5.42087515637612","11.018733783860107","6105448","5555800","9.89322869793729","-"
"114/09/07","114/6","1232","大統益","食品工業","1604514","1666647","1696595","-3.72802399068309","-5.42740017505651","10501378","10964435","-4.223263670221037","-"
"114/09/07","114/6","1233","天仁","食品工業","163079","196357","175138","-16.947702399201454","-6.885427491463874","1079445","1110395","-2.7872964125378807","-"
