出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1141017","11409","1101","台泥","水泥工業","13306676","12214776","13325249","8.939173342188182","-0.1393820107976969","109438297","105591346","3.6432445893814065","-"
"1141017","11409","1102","亞泥","水泥工業","6388217","5663764","6496635","12.791016716091985","-1.6688331728656451","53149015","55437813","-4.128586385613732","-"
"1141017","11409","1103","嘉泥","水泥工業","234910","236882","249964","-0.8324819952550215","-6.022467235281881","2244681","2213179","1.423382383440291","-"
"1141017","11409","1104","環泥","水泥工業","707407","603054","599242","17.304088854397783","18.050303550151693","5783017","5873438","-1.5394901589154426","-"
"1141017","11409","1108","幸福","水泥工業","350532","344143","417664","1.8564957009150267","-16.073207171314742","3425383","3554990","-3.6457767813692867","-"
"1141017","11409","1109","信大","水泥工業","379708","365337","317761","3.933628403364565","19.49484046185655","3335120","3532176","-5.578883951422579","-"
"1141017","11409","1110","東泥","水泥工業","226502","236226","289245","-4.116397009643308","-21.691991218517174","2142289","2072159","3.384392799973361","-"
"1141017","11409","1201","味全","食品工業","2160653","1974741","2134895","9.414500433221368","1.2065230374327542","16717790","17746412","-5.79622517498185","-"
"1141017","11409","1203","味王","食品工業","448993","470431","467801","-4.557097640249048","-4.0205129959106545","4302868","4518463","-4.771423380029891","-"
"1141017","11409","1210","大成","食品工業","8731543","8556083","8614876","2.0507047442153143","1.3542504848589811","75695865","76835366","-1.4830423271491933","-"
"1141017","11409","1213","大飲","食品工業","34129","34176","18428","-0.13752340823970038","85.2018667245496","226784","139138","62.992137302534175","113年9月因產能不足,恢復產能後及積極推展業務,致使114年9月營收成長．"
"1141017","11409","1215","卜蜂","食品工業","2389204","2333191","2273593","2.4007035857758754","5.084947041972772","20852147","20631062","1.0716123096329215","-"
"1141017","11409","1216","統一","食品工業","58415036","60796560","57852278","-3.9172018943177047","0.9727499408061339","515164403","499799857","3.0741397350980035","-"
"1141017","11409","1217","愛之味","食品工業","525593","591972","487276","-11.213199272938585","7.863510618212266","4032264","4061918","-0.7300492033566409","-"
"1141017","11409","1218","泰山","食品工業","885650","1021563","985528","-13.304416859263696","-10.13446599183382","7737006","8278022","-6.535570937115171","-"
"1141017","11409","1219","福壽","食品工業","1211300","1150184","1171870","5.313584609071245","3.364707689419475","10606045","10573152","0.31109928240887863","-"
"1141017","11409","1220","台榮","食品工業","290497","280352","273209","3.6186651067229767","6.327756406267729","2401036","2414616","-0.5624082669873802","-"
"1141017","11409","1225","福懋油","食品工業","925938","939446","1030261","-1.4378687013410032","-10.125880723428335","9103661","9557276","-4.746279169922476","-"
"1141017","11409","1227","佳格","食品工業","2981999","2370684","2895023","25.786439694197963","3.0043284630208467","20336366","20787299","-2.1692717269328736","-"
"1141017","11409","1229","聯華","食品工業","1235489","1017481","916900","21.42624776285749","34.74631911876977","9763581","9774038","-0.10698751120059079","-"
"1141017","11409","1231","聯華食","食品工業","1068355","1168240","920820","-8.550041087447784","16.022132447166655","9486468","8740020","8.540575422024206","-"
"1141017","11409","1232","大統益","食品工業","1796364","1780197","1742432","0.9081579173540906","3.095214045655727","15836433","16376348","-3.296919435273359","-"
"1141017","11409","1233","天仁","食品工業","187040","178499","183712","4.784900755746531","1.8115310921442258","1605435","1650776","-2.746647637232429","-"
"1141017","11409","1234","黑松","食品工業","877543","887896","944042","-1.1660149386865128","-7.044072191703335","7308376","7975733","-8.367343791473461","-"
"1141017","11409","1235","興泰","食品工業","19629","18931","13412","3.6870741112461043","46.35401133313451","119659","73606","62.56691030622503","增加子公司泰宇網通1-9月營收5606萬"
"1141017","11409","1236","宏亞","食品工業","229974","163447","182447","40.70249071564483","26.04975691570703","1379477","1420925","-2.9169730985097737","-"
"1141017","11409","1256","鮮活果汁-KY","食品工業","419697","516828","432465","-18.79367990898326","-2.952377649058305","3241531","3369716","-3.804029775803065","-"
"1141017","11409","1301","台塑","塑膠工業","14017714","13103184","16641520","6.979448659196116","-15.766624683322197","134307258","149709593","-10.28814165569203","-"
"1141017","11409","1303","南亞","塑膠工業","22171572","20853020","21428221","6.323074547475618","3.4690280635055983","195445091","191459552","2.0816610915291394","-"
"1141017","11409","1304","台聚","塑膠工業","3613952","3376784","4138650","7.023487436566864","-12.677998864363984","34227095","38388005","-10.839088928950593","-"
"1141017","11409","1305","華夏","塑膠工業","744029","768703","921273","-3.2098222590519354","-19.239031210075623","7385423","8542673","-13.546696683813135","-"
"1141017","11409","1307","三芳","塑膠工業","935230","950351","923027","-1.5910963422987927","1.3220631682496828","8251583","8212745","0.47289913421152124","-"
"1141017","11409","1308","亞聚","塑膠工業","540674","459866","382991","17.572075343687075","41.17146355919591","4341605","4478413","-3.0548321470127924","-"
"1141017","11409","1309","台達化","塑膠工業","1158361","1079037","1678546","7.351369786207517","-30.990214149627118","11473931","13919322","-17.568319778793825","-"
"1141017","11409","1310","台苯","塑膠工業","722884","716796","961410","0.8493350967360309","-24.81001861848743","6962072","8692013","-19.902650858897704","-"
"1141017","11409","1312","國喬","塑膠工業","2111417","1258413","1200035","67.7841058539605","75.94628490002376","15983590","12625069","26.60200114549869","今年三月份重要子公司開始投產銷售，不論單月營收或累計營收，均較去年同期增加，惟國際經濟環境仍動盪，市場利差不如預期。"
