出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/09/07","114/7","3356","奇偶","光電業","76394","76905","96274","-0.6644561471945907","-20.64939651411596","583089","707670","-17.604391877570055","-"
"114/09/07","114/7","3376","新日興","電子零組件業","904030","968015","1201035","-6.609918234738098","-24.72908782841466","6649363","7570321","-12.165375814314876","-"
"114/09/07","114/7","3380","明泰","通信網路業","1781219","2153618","1535879","-17.2917852655392","15.973914611763036","11999387","12400539","-3.2349561579541017","-"
"114/09/07","114/7","3406","玉晶光","光電業","2383597","1664213","2275598","43.22667831581654","4.745961281386255","12474228","12499655","-0.20342161443655846","-"
"114/09/07","114/7","3413","京鼎","半導體業","1662354","1753715","1382084","-5.20956939981696","20.278796368382817","11734551","8425252","39.27833849954874","-"
"114/09/07","114/7","3416","融程電","電腦及週邊設備業","385688","333775","284362","15.553291888248072","35.63274980482624","2013630","1724801","16.745641961014634","自114年7月起新增合併瑞士子公司PSD及PVD"
"114/09/07","114/7","3419","譁裕","通信網路業","160888","167374","133112","-3.875153847073022","20.86663862010938","1045421","862216","21.248155914527217","-"
"114/09/07","114/7","3432","台端","電子零組件業","18847","16046","6817","17.456063816527482","176.47058823529412","70554","21323","230.88214603948788","主係因增加新產品出貨所致"
"114/09/07","114/7","3437","榮創","光電業","113275","138463","178137","-18.191141315730555","-36.41130141408017","975795","1221259","-20.099258224504386","-"
"114/09/07","114/7","3443","創意","半導體業","2232812","2419270","2903133","-7.7072009325127","-23.08957254111334","15361033","15313285","0.31180768855278274","-"
"114/09/07","114/7","3447","展達","通信網路業","308621","218164","215676","41.46284446563136","43.094734694634546","1781139","1121223","58.85680190292208","本年累計營收增加,主係客戶需求增加所致。"
"114/09/07","114/7","3450","聯鈞","半導體業","615415","605082","644812","1.707702427109053","-4.559003244356495","5222318","3635153","43.66157352936727","-"
"114/09/07","114/7","3454","晶睿","光電業","690812","695925","572165","-0.7347056076445019","20.736500834549474","4722590","3835170","23.139000357220148","-"
"114/09/07","114/7","3481","群創","光電業","19264800","18510718","17653860","4.073758781263915","9.125143169822351","131428478","125006753","5.13710247317599","-"
"114/09/07","114/7","3494","誠研","電腦及週邊設備業","92992","81567","92593","14.006890041315728","0.4309181039603426","555729","511679","8.608913009914419","-"
"114/09/07","114/7","3501","維熹","電子零組件業","441198","466475","569254","-5.418725547992926","-22.495406268554987","3373321","3541843","-4.75803134131016","-"
"114/09/07","114/7","3504","揚明光","光電業","211851","251778","244039","-15.858017777565951","-13.189695089719265","1566384","1441745","8.645010039916906","-"
"114/09/07","114/7","3515","華擎","電腦及週邊設備業","2857376","2506644","1992184","13.992094609366148","43.429321789553576","25309347","12171964","107.93149733272297","“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
"114/09/07","114/7","3518","柏騰","其他電子業","27793","27709","49639","0.30315060088779816","-44.009750397872644","186082","224712","-17.190893232226138","-"
"114/09/07","114/7","3528","安馳","電子通路業","742929","693533","459222","7.122371970764188","61.7799234357239","4367427","3032046","44.04224078394589","受惠於AI技術應用快速擴展，帶動半導體測試、工業自動化及5G通訊等相關市場需求穩定。"
"114/09/07","114/7","3530","晶相光","半導體業","130164","134975","176262","-3.5643637710687166","-26.153112979541817","935363","949991","-1.5398040613016333","-"
"114/09/07","114/7","3532","台勝科","半導體業","1011902","989472","1021061","2.266865560622231","-0.8970081121500086","6988985","7275498","-3.938053450086853","-"
"114/09/07","114/7","3533","嘉澤","電子零組件業","2840496","2638865","2554915","7.6408228537647815","11.17771041306658","18971476","16316512","16.2716394288191","-"
"114/09/07","114/7","3535","晶彩科","光電業","4520","27973","79145","-83.84156150573767","-94.28896329521764","108472","551789","-80.341761071714","本公司以銷售機台為主，114年7月出售機台較去年同期少，此為產業特性，尚屬正常。"
"114/09/07","114/7","3543","州巧","光電業","263628","243093","314419","8.447384334390541","-16.15392199580814","1975598","1863849","5.995603721116893","-"
"114/09/07","114/7","3545","敦泰","半導體業","1062536","881026","1210689","20.602116169102842","-12.237081529608346","7106639","7748548","-8.2842488683041","-"
"114/09/07","114/7","3550","聯穎","電子零組件業","298234","268192","294364","11.201676410929483","1.314698808278186","2039839","1914667","6.5375336807914906","-"
"114/09/07","114/7","3557","嘉威","居家生活","207469","248265","452255","-16.432441141522165","-54.12565919669213","2923923","3684871","-20.65060079443758","依客戶交期出貨"
"114/09/07","114/7","3563","牧德","光電業","272791","307142","110981","-11.184077723007599","145.7997314855696","2034529","690432","194.67478332406378","主係訂單增加，致本期營收較去年同期成長。"
"114/09/07","114/7","3576","聯合再生","光電業","178275","230093","444595","-22.520459118704178","-59.901708296314624","1861980","3305005","-43.661809891361735","太陽能市場需求減緩，導致本月營收較去年同月減少。"
"114/09/07","114/7","3583","辛耘","半導體業","913176","1063392","754038","-14.126117179741808","21.104771908047073","6639502","5371200","23.613010128090558","-"
"114/09/07","114/7","3588","通嘉","半導體業","103748","100989","138588","2.73198071077048","-25.139261696539382","791685","828357","-4.427076731409284","-"
"114/09/07","114/7","3591","艾笛森","光電業","209679","179406","217439","16.874017591384902","-3.56881700154986","1396705","1425582","-2.025628830891524","-"
"114/09/07","114/7","3592","瑞鼎","半導體業","1842611","1880842","2067886","-2.0326534605245947","-10.893975780096195","13518740","14556441","-7.128809851254163","-"
"114/09/07","114/7","3593","力銘","電子零組件業","86703","121831","74923","-28.833383949897808","15.722808750316991","727234","472003","54.07402071597003","較去年比較係新增安徽瑞登廠營運。"
"114/09/07","114/7","3596","智易","通信網路業","4498639","4557062","4089745","-1.2820321514168558","9.998031662120743","30663851","28803404","6.459121984332129","-"
"114/09/07","114/7","3605","宏致","電子零組件業","889148","860900","880884","3.28121733070043","0.9381484962832791","6253445","5278651","18.466725684270468","-"
"114/09/07","114/7","3607","谷崧","電子零組件業","240060","235833","292860","1.7923700245512715","-18.029092399098545","1688498","1664309","1.4533959739447422","-"
"114/09/07","114/7","3617","碩天","其他電子業","1098257","981058","1183043","11.9461846292472","-7.166772467272956","6857024","7013252","-2.2276113848468584","-"
"114/09/07","114/7","3622","洋華","光電業","153146","181942","143522","-15.827021798155457","6.705592174022101","963306","952813","1.1012654109463242","-"
"114/09/07","114/7","3645","達邁","電子零組件業","208522","211991","219221","-1.636390224113288","-4.880463094320343","1405734","1273955","10.344085937101388","-"
"114/09/07","114/7","3652","精聯","電腦及週邊設備業","219631","256956","186464","-14.525833216581827","17.787347691779647","1406924","1414414","-0.5295479258548063","-"
"114/09/07","114/7","3653","健策","電子零組件業","1682644","1680959","1185729","0.10024039848681615","41.907973913094814","11616350","7451210","55.89884059099126","因客戶端需求成長，致本年較去年增加百分比達50%以上。"
"114/09/07","114/7","3661","世芯-KY","半導體業","2637889","3095838","4878490","-14.79240838829422","-45.9281662973584","22236743","28935544","-23.15076917164578","-"
"114/09/07","114/7","3665","貿聯-KY","其他電子業","6034282","5200632","5010561","16.029782534122777","20.431265081894022","38961113","30466478","27.881906796053027","-"
"114/09/07","114/7","3669","圓展","通信網路業","199964","255283","266084","-21.669676398350067","-24.849295711128818","1442662","1589722","-9.250674017218104","-"
"114/09/07","114/7","3673","TPK-KY","光電業","5480708","5872386","6101696","-6.669827221848155","-10.177301524035284","37798963","40578243","-6.849187629932622","-"
"114/09/07","114/7","3679","新至陞","電子零組件業","355061","349909","363342","1.4723828195330786","-2.27911994759758","2684330","2262004","18.67043559604669","-"
"114/09/07","114/7","3686","達能","半導體業","7992","8053","6335","-0.75748168384453","26.15627466456196","47684","51450","-7.319727891156463","本期營收與去年同期差異，主要係本期電子零組件材料交易的品項規格的數量和價格較去年同期上升所致。"
"114/09/07","114/7","3694","海華","通信網路業","1076620","1052009","868375","2.339428655078046","23.980998992370807","6534766","5314653","22.957528929922614","-"
"114/09/07","114/7","3701","大眾控","電腦及週邊設備業","828265","575982","1252642","43.80050071009163","-33.87855428765761","6208747","7944975","-21.853158757579475","-"
"114/09/07","114/7","3702","大聯大","電子通路業","76556706","83205886","68545930","-7.99123754297863","11.686727424954334","575842577","458422905","25.613831839401655","-"
"114/09/07","114/7","3703","欣陸","建材營造","2593216","2767813","3072958","-6.308121249520831","-15.611733059807522","17716612","17917919","-1.1234954237710306","-"
"114/09/07","114/7","3704","合勤控","通信網路業","2171818","2342282","2290437","-7.2776890229272135","-5.178880711410093","15393669","14357864","7.2141998280524176","-"
"114/09/07","114/7","3705","永信","生技醫療業","700432","740713","740180","-5.438138658292753","-5.370045124158988","5005017","4516291","10.821401898150496","-"
"114/09/07","114/7","3706","神達","電腦及週邊設備業","8571058","8667797","4807680","-1.116073669007246","78.27846279286474","58860391","27569274","113.49996739123416","營收增長主因超大規模雲端資料中心及雲端服務客戶需求維持在高檔，另車用電子及Edge AI 產品出貨也重返預期的成長軌道。"
"114/09/07","114/7","3708","上緯投控","綠能環保","673621","612437","639435","9.990252058579086","5.346282264811904","4615698","4301834","7.296050940133906","-"
"114/09/07","114/7","3711","日月光投控","半導體業","51542033","49512621","51595954","4.098777158252236","-0.10450625644018521","350445618","324636872","7.950035324391617","-"
