出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/09/07","114/8","1213","大飲","食品工業","34176","23287","25897","46.759994846910296","31.96895393288798","192655","120710","59.601524314472705","113年8月因產能不足,恢復產能後及積極推展業務,致使114年8月營收成長"
"114/09/07","114/8","1256","鮮活果汁-KY","食品工業","516828","507659","419072","1.8061336448285168","23.326779169211974","2819676","2937239","-4.002500307261343","-"
"114/09/07","114/8","1304","台聚","塑膠工業","3376784","3514742","4233703","-3.925124518385702","-20.240413652067705","30613143","34249355","-10.616877310536212","-"
"114/09/07","114/8","1305","華夏","塑膠工業","768703","752645","643628","2.1335423738947314","19.43280901390244","6641394","7621400","-12.8586086545779","-"
"114/09/07","114/8","1308","亞聚","塑膠工業","459866","465643","469189","-1.2406500258781943","-1.9870457321036938","3800931","4095422","-7.1907363880938275","-"
"114/09/07","114/8","1309","台達化","塑膠工業","1079037","1154534","1885923","-6.539175113075925","-42.78467360544413","10315570","12240776","-15.727810066943468","-"
"114/09/07","114/8","1414","東和","紡織纖維","33531","35243","39468","-4.857702238742445","-15.042566129522651","328554","367545","-10.608496918744644","-"
"114/09/07","114/8","1435","中福","其他","499","498","991","0.20080321285140562","-49.64682139253279","3988","7689","-48.133697489920664","-"
"114/09/07","114/8","1436","華友聯","建材營造","449276","1472403","1338989","-69.4868864027036","-66.44662502828626","3575147","4601319","-22.30169218869633","本月營收較去年同期減少，係本月交屋數量較去年同期減少所致。"
"114/09/07","114/8","1437","勤益控","其他","69292","163031","67733","-57.497653820439055","2.30168455553423","622047","571925","8.763736503912225","-"
"114/09/07","114/8","1452","宏益","紡織纖維","105811","120814","151258","-12.418262784114424","-30.046014095122242","925674","1088514","-14.959844338244617","-"
"114/09/07","114/8","1454","台富","紡織纖維","118323","126758","148457","-6.654412344782973","-20.29813346625622","1062282","1094025","-2.9014876259683278","-"
"114/09/07","114/8","1459","聯發","紡織纖維","90191","90428","90111","-0.2620869642146238","0.08877939430258237","796284","862283","-7.653983668934677","-"
"114/09/07","114/8","1464","得力","紡織纖維","984416","931432","1123341","5.688445318606189","-12.367126277773178","8203007","7348275","11.63173670010989","-"
"114/09/07","114/8","1477","聚陽","紡織纖維","3745640","2780854","4110109","34.693874615495815","-8.867623705356719","24139451","23475722","2.827299624693119","-"
"114/09/07","114/8","1513","中興電","電機機械","2297365","2321409","2195732","-1.0357502706330508","4.628661421339216","18170852","16553742","9.768848638573683","-"
"114/09/07","114/8","1524","耿鼎","汽車工業","219798","203569","258060","7.972235458247572","-14.826784468728203","1710567","1842257","-7.148296898858303","-"
"114/09/07","114/8","1535","中宇","電機機械","981507","1073688","812401","-8.58545499251179","20.81558245250806","7594648","6895430","10.140310321473788","-"
